TaskNo,PartNo,MousePointX,MousePointY,Time
1,1,842,250,761
1,1,842,250,762
1,1,842,250,763
1,1,842,250,764
1,1,842,250,765
1,1,842,250,766
1,1,837,253,767
1,1,837,253,768
1,1,837,253,769
1,1,837,253,770
1,1,837,253,771
1,1,837,253,772
1,1,837,253,773
1,1,837,253,774
1,1,833,254,775
1,1,833,254,776
1,1,833,254,777
1,1,833,254,778
1,1,833,254,779
1,1,833,254,780
1,1,833,254,781
1,1,833,254,782
1,1,828,255,783
1,1,828,255,784
1,1,828,255,785
1,1,828,255,786
1,1,828,255,787
1,1,828,255,788
1,1,828,255,789
1,1,828,255,790
1,1,824,255,791
1,1,824,255,792
1,1,824,255,793
1,1,824,255,794
1,1,824,255,795
1,1,824,255,796
1,1,824,255,797
1,1,818,257,798
1,1,818,257,799
1,1,818,257,800
1,1,818,257,801
1,1,818,257,802
1,1,818,257,803
1,1,818,257,804
1,1,818,257,805
1,1,818,257,806
1,1,812,259,807
1,1,812,259,808
1,1,812,259,809
1,1,812,259,810
1,1,812,259,811
1,1,812,259,812
1,1,812,259,813
1,1,812,259,814
1,1,807,261,815
1,1,807,261,816
1,1,807,261,817
1,1,807,261,818
1,1,807,261,819
1,1,807,261,820
1,1,807,261,821
1,1,807,261,822
1,1,803,264,823
1,1,803,264,824
1,1,803,264,825
1,1,803,264,826
1,1,803,264,827
1,1,803,264,828
1,1,803,264,829
1,1,800,265,830
1,1,800,265,831
1,1,800,265,832
1,1,800,265,833
1,1,800,265,834
1,1,800,265,835
1,1,800,265,836
1,1,800,265,837
1,1,800,265,838
1,1,795,267,839
1,1,795,267,840
1,1,795,267,841
1,1,795,267,842
1,1,795,267,843
1,1,795,267,844
1,1,795,267,845
1,1,795,267,846
1,1,793,268,847
1,1,793,268,848
1,1,793,268,849
1,1,793,268,850
1,1,793,268,851
1,1,793,268,852
1,1,793,268,853
1,1,793,268,854
1,1,789,269,855
1,1,789,269,856
1,1,789,269,857
1,1,789,269,858
1,1,789,269,859
1,1,789,269,860
1,1,789,269,861
1,1,789,269,862
1,1,787,271,863
1,1,787,271,864
1,1,787,271,865
1,1,787,271,866
1,1,787,271,867
1,1,787,271,868
1,1,787,271,869
1,1,787,271,870
1,1,786,272,871
1,1,786,272,872
1,1,786,272,873
1,1,786,272,874
1,1,786,272,875
1,1,786,272,876
1,1,786,272,877
1,1,786,272,878
1,1,784,273,879
1,1,784,273,880
1,1,784,273,881
1,1,784,273,882
1,1,784,273,883
1,1,784,273,884
1,1,784,273,885
1,1,784,273,886
1,1,782,274,887
1,1,782,274,888
1,1,782,274,889
1,1,782,274,890
1,1,782,274,891
1,1,782,274,892
1,1,782,274,893
1,1,782,274,894
1,1,781,274,895
1,1,781,274,896
1,1,781,274,897
1,1,781,274,898
1,1,781,274,899
1,1,781,274,900
1,1,781,274,901
1,1,781,274,902
1,1,780,275,903
1,1,780,275,904
1,1,780,275,905
1,1,780,275,906
1,1,780,275,907
1,1,780,275,908
1,1,780,275,909
1,1,780,275,910
1,1,779,275,911
1,1,779,275,912
1,1,779,275,913
1,1,779,275,914
1,1,779,275,915
1,1,779,275,916
1,1,779,275,917
1,1,779,275,918
1,1,777,277,919
1,1,777,277,920
1,1,777,277,921
1,1,777,277,922
1,1,777,277,923
1,1,777,277,924
1,1,777,277,925
1,1,777,277,926
1,1,775,278,927
1,1,775,278,928
1,1,775,278,929
1,1,775,278,930
1,1,775,278,931
1,1,775,278,932
1,1,775,278,933
1,1,775,278,934
1,1,774,279,935
1,1,774,279,936
1,1,774,279,937
1,1,774,279,938
1,1,774,279,939
1,1,774,279,940
1,1,774,279,941
1,1,774,279,942
1,1,771,281,943
1,1,771,281,944
1,1,771,281,945
1,1,771,281,946
1,1,771,281,947
1,1,771,281,948
1,1,771,281,949
1,1,771,281,950
1,1,769,282,951
1,1,769,282,952
1,1,769,282,953
1,1,769,282,954
1,1,769,282,955
1,1,769,282,956
1,1,769,282,957
1,1,769,282,958
1,1,766,284,959
1,1,766,284,960
1,1,766,284,961
1,1,766,284,962
1,1,766,284,963
1,1,766,284,964
1,1,766,284,965
1,1,766,284,966
1,1,763,285,967
1,1,763,285,968
1,1,763,285,969
1,1,763,285,970
1,1,763,285,971
1,1,763,285,972
1,1,763,285,973
1,1,763,285,974
1,1,761,287,975
1,1,761,287,976
1,1,761,287,977
1,1,761,287,978
1,1,761,287,979
1,1,761,287,980
1,1,761,287,981
1,1,761,287,982
1,1,760,288,983
1,1,760,288,984
1,1,760,288,985
1,1,760,288,986
1,1,760,288,987
1,1,760,288,988
1,1,760,288,989
1,1,760,288,990
1,1,757,290,991
1,1,757,290,992
1,1,757,290,993
1,1,757,290,994
1,1,757,290,995
1,1,757,290,996
1,1,757,290,997
1,1,757,290,998
1,1,755,291,999
1,1,755,291,1000
1,1,755,291,1001
1,1,755,291,1002
1,1,755,291,1003
1,1,755,291,1004
1,1,755,291,1005
1,1,755,291,1006
1,1,754,292,1007
1,1,754,292,1008
1,1,754,292,1009
1,1,754,292,1010
1,1,754,292,1011
1,1,754,292,1012
1,1,754,292,1013
1,1,754,292,1014
1,1,753,294,1015
1,1,753,294,1016
1,1,753,294,1017
1,1,753,294,1018
1,1,753,294,1019
1,1,753,294,1020
1,1,753,294,1021
1,1,753,294,1022
