TaskNo,PartNo,GazePointX,GazePointY,Time
1,1,700,679,2066
1,1,702,679,2070
1,1,703,679,2073
1,1,700,685,2076
1,1,702,678,2080
1,1,700,679,2083
1,1,699,676,2086
1,1,700,684,2090
1,1,702,682,2093
1,1,698,680,2096
1,1,700,675,2100
1,1,700,677,2103
1,1,698,678,2106
1,1,702,679,2110
1,1,701,682,2113
1,1,699,676,2116
1,1,700,679,2120
1,1,701,679,2123
1,1,702,680,2126
1,1,705,683,2130
1,1,701,678,2133
1,1,701,678,2136
1,1,704,682,2140
1,1,699,683,2143
1,1,705,684,2146
1,1,718,701,2149
1,1,730,719,2153
1,1,738,731,2156
1,1,737,733,2160
1,1,733,739,2163
1,1,732,749,2166
1,1,731,729,2170
1,1,733,729,2173
1,1,734,732,2176
1,1,735,729,2180
1,1,733,742,2183
1,1,737,736,2186
1,1,731,733,2190
1,1,736,737,2193
1,1,735,735,2196
1,1,736,734,2200
1,1,738,738,2203
1,1,736,737,2206
1,1,739,738,2210
1,1,735,740,2213
1,1,732,743,2216
1,1,734,739,2219
1,1,737,743,2223
1,1,736,743,2226
1,1,740,739,2230
1,1,738,740,2233
1,1,739,734,2236
1,1,741,739,2240
1,1,740,737,2243
1,1,740,739,2246
1,1,739,739,2250
1,1,736,731,2253
1,1,736,737,2256
1,1,736,739,2260
1,1,735,741,2263
1,1,736,743,2266
1,1,736,745,2270
1,1,736,738,2273
1,1,738,746,2276
1,1,733,743,2279
1,1,731,742,2283
1,1,734,742,2286
1,1,731,743,2289
1,1,737,752,2293
1,1,738,748,2296
1,1,737,750,2300
1,1,738,743,2303
1,1,734,745,2306
1,1,735,736,2310
1,1,739,741,2313
1,1,739,736,2316
1,1,738,748,2319
1,1,739,743,2323
1,1,737,740,2326
1,1,741,748,2330
1,1,737,738,2333
1,1,741,745,2336
1,1,737,738,2340
1,1,738,754,2343
1,1,738,738,2346
1,1,736,742,2349
1,1,738,748,2353
1,1,734,743,2356
1,1,734,742,2359
1,1,735,744,2363
1,1,739,747,2366
1,1,738,748,2370
1,1,740,748,2373
1,1,738,745,2376
1,1,745,745,2379
1,1,740,745,2383
1,1,744,742,2386
1,1,738,752,2389
1,1,741,751,2393
1,1,742,745,2396
1,1,741,748,2400
1,1,741,742,2403
1,1,742,742,2406
1,1,743,743,2409
1,1,742,750,2413
1,1,743,740,2416
1,1,742,741,2419
1,1,744,744,2423
1,1,744,740,2426
1,1,745,737,2429
1,1,744,742,2433
1,1,745,733,2436
1,1,743,737,2440
1,1,745,738,2443
